text,Sentiment,Sentiment_Label,Sentiment_Code
"but before i even turn this thing on,",0.0,Neutral,0
there are clearly several things,0.0,Neutral,0
"that are a little
different about this one.",-0.09375,Negative,0
"so first of all, it's made of metal.",0.25,Positive,1
"lots of metal and glass
here, which are high quality,",0.16,Positive,1
"but heavy materials, relatively speaking.",-0.1,Negative,0
"so there's this precisely
machined aluminum frame",0.4,Positive,1
around the outside.,0.0,Neutral,0
"and yes, those are intakes
for fans at the bottom.",0.0,Neutral,0
and then vents for those fans at the top.,0.5,Positive,1
"on the right side,
there's your digital crown",0.14285714285714285,Positive,1
that can be pressed in or turned.,0.0,Neutral,0
"and then on the other side is
just a single larger button.",-0.06547619047619048,Negative,0
"so kind of basically the same
two buttons as an apple watch.",0.3,Positive,1
"and then when you get
a little further back",-0.0625,Negative,0
"on this band here, these little pods",-0.1875,Negative,0
"with downward facing
grills, these are speakers",0.0,Neutral,0
"which are pointed straight at your ears,",0.2,Positive,1
and work surprisingly well.,0.7,Positive,1
"though of course, it also
means that people around you",0.0,Neutral,0
"can hear a little bit
of what you're hearing.",-0.1875,Negative,0
"there's a little bit of bleed,",-0.1875,Negative,0
"and i have a lot to say
about spatial audio,",0.0,Neutral,0
so stay tuned for that.,0.0,Neutral,0
but the main event is at the front.,0.16666666666666666,Positive,1
"there is an enormous piece of glass,",0.0,Neutral,0
"which, yes, is very easy
to fingerprint and smudge.",0.5633333333333334,Positive,1
"and then behind that thing,
there's this outward-facing",-0.4,Negative,0
"oled display and a bunch of
sensors all the way around,",0.0,Neutral,0
"outside facing sensors that go forward,",0.0,Neutral,0
"sideways, and straight down.",0.022222222222222213,Positive,1
"and there's depth sensors,
infrared illuminators,",0.0,Neutral,0
"lidar scanners, and just
regular old rgb cameras,",0.05,Positive,1
all being processed by an m2 chip,0.0,Neutral,0
and an r1 chip inside this thing.,0.0,Neutral,0
"and then maybe the craziest part,",0.0,Neutral,0
"inside the headset, there
are a bunch more sensors",0.5,Positive,1
"facing your eyes, tracking
your eyes in real time,",0.2,Positive,1
"for all the eye control and
everything that comes with that.",0.0,Neutral,0
"and also then to display a
representation of your eyes",0.0,Neutral,0
on the outside of the headset.,0.0,Neutral,0
"kinda, we'll get there.",0.0,Neutral,0
"but overall, when you put it all together,",0.0,Neutral,0
"you get a very well made, very high end,",0.20400000000000001,Positive,1
"but also pretty heavy
computer to wear on your face.",0.024999999999999994,Positive,1
"so officially, this headset
with this solo knit band",0.0,Neutral,0
"when i weighed it, showed up as 638 grams,",0.0,Neutral,0
"which some of you on twitter
have already pointed out",0.0,Neutral,0
"is actually slightly less than
the plastic meta quest pro.",-0.16666666666666666,Negative,0
"but that quest pro also
has a lot of battery",0.0,Neutral,0
"on the back of your head as
a sort of a counterbalance,",0.0,Neutral,0
"so the weight distribution
is very different.",0.0,Neutral,0
"also, the quest pro is not
that comfortable anyway.",0.4,Positive,1
"but the point is this,
for apple, made the choice",0.0,Neutral,0
"of taking the battery off of
the headset, which means okay,",0.5,Positive,1
"now there's nothing on
the back of your head,",0.0,Neutral,0
"so you can wear it and
lean up against things,",0.0,Neutral,0
"and that might be an upside,",0.0,Neutral,0
but that also now means you have to deal,0.0,Neutral,0
"with this cable all the time
running up to your head,",0.0,Neutral,0
"and the fact that it's
very front weighted now.",0.2,Positive,1
"all of the weight is on
the front of your face.",0.0,Neutral,0
"so this is the battery, as
you saw in the unboxing.",0.0,Neutral,0
"if you haven't already seen the
unboxing, that just went up.",0.0,Neutral,0
i'll link it below the like button.,0.0,Neutral,0
but this battery is a surprisingly small,-0.25,Negative,0
"3,366 milliamp hours.",0.0,Neutral,0
"i say surprisingly small
because a normal battery bank",-0.05,Negative,0
"of this size, you might
expect to be 10, 15,",0.0,Neutral,0
"20,000 milliamp hours.",0.0,Neutral,0
"i suspect there's a lot of
heat insulation happening here.",0.0,Neutral,0
"but it comes with a
non-removable four foot cable,",0.0,Neutral,0
"and a proprietary connector
at the end of the cable",0.0,Neutral,0
that will twist and lock to the headset.,0.0,Neutral,0
and so the lock is really solid.,0.0,Neutral,0
"it makes sense that it's
not just straight usb",0.2,Positive,1
that could get disconnected easily.,0.43333333333333335,Positive,1
"once you connect it, it starts glowing,",0.0,Neutral,0
and then it starts booting up.,0.0,Neutral,0
"and there's even a little
apple logo that displays",-0.1875,Negative,0
"on the outside screen
while it takes, you know,",0.0,Neutral,0
a little under a minute to turn on.,-0.1875,Negative,0
so there is no on or off button,0.0,Neutral,0
or switch anywhere on this headset.,0.0,Neutral,0
"maybe kind of like airpods
max or something like that.",0.6,Positive,1
so if you ever take the headset off,0.0,Neutral,0
"and put it down, it will
enter a standby mode",-0.15555555555555559,Negative,0
"after some time, but it won't turn off.",0.0,Neutral,0
"if you wanna turn it off,
you literally have to twist",0.0,Neutral,0
and unplug the cable.,0.0,Neutral,0
"that's the only way to
actually turn the headset off.",0.0,Neutral,0
"now famously already, the battery life",0.5,Positive,1
"with this included
battery, is not super long",-0.10833333333333334,Negative,0
on this headset.,0.0,Neutral,0
two to four hours is actually realistic,0.16666666666666666,Positive,1
"for what you can expect for
just like this built-in battery.",0.0,Neutral,0
but that's also kind of right in line,0.44285714285714284,Positive,1
with a lot of other vr headsets.,-0.125,Negative,0
"battery life on vr headsets
is not that great in general.",0.42500000000000004,Positive,1
"if you do wanna use it longer,
the only way to do that",0.0,Neutral,0
"is there's usbc port on the battery,",0.0,Neutral,0
and you have to plug the battery in.,0.0,Neutral,0
"so you could plug the
battery into the wall",0.0,Neutral,0
"for infinite battery life,",0.0,Neutral,0
"or i guess you could plug it into like a,",0.0,Neutral,0
"you could daisy chain another
battery into the other pocket",-0.125,Negative,0
or something for even longer life.,0.0,Neutral,0
"but yeah, two to four hours.",0.0,Neutral,0
now at first it seemed weird to me,-0.125,Negative,0
"that the port is on the
same side of the battery",0.0,Neutral,0
"as the non-removable cable,",0.0,Neutral,0
"but i think it's because
they just want you to default",0.0,Neutral,0
"to putting this battery in your pocket,",0.0,Neutral,0
probably in your back pocket.,0.0,Neutral,0
"so even if it's plugged into the wall,",0.0,Neutral,0
it can still be in your back pocket.,0.0,Neutral,0
"you're just gonna want to
get a longer usbc cable.",0.0,Neutral,0
"so there are no controllers
that come with this headset.",0.0,Neutral,0
now it does support other input methods,-0.125,Negative,0
"that are like game controllers,
and mouse, and keyboard,",-0.4,Negative,0
"and those can be incredibly useful,",0.3,Positive,1
but by default the primary input method,0.4,Positive,1
for everyone using the vision pro,0.0,Neutral,0
is your eyes and your hands.,0.0,Neutral,0
"so the first time you put on this headset,",0.25,Positive,1
"it goes through this calibration process,",0.0,Neutral,0
and it's pretty interesting.,0.375,Positive,1
"so the first time you ever put it on,",0.25,Positive,1
"it first adjusts the
distance between the lenses,",0.25,Positive,1
physically moving them inside the headset,0.0,Neutral,0
to match the distance between your eyes.,0.0,Neutral,0
then it does this sort of a hand scan,0.0,Neutral,0
so it understands your hands.,0.0,Neutral,0
and then you go through this process,0.0,Neutral,0
of basically looking at a bunch of dots,0.0,Neutral,0
"all the way around the screen,",0.0,Neutral,0
"and then tapping your fingers
together to select them.",0.0,Neutral,0
"kind of feels like an
eye test or something.",0.6,Positive,1
and then you're in.,0.0,Neutral,0
so first thing you're gonna notice,0.25,Positive,1
"is you can actually kind
of put your hands anywhere",0.6,Positive,1
"as long as the headset can see this,",-0.05,Negative,0
just your fingers touching together.,0.5,Positive,1
"so there's a lot of pictures
of people using a headset",0.0,Neutral,0
"with their fingers, like
out in front of them,",0.0,Neutral,0
pinching like that.,0.0,Neutral,0
but you actually don't have to do that.,0.0,Neutral,0
"it's such a wide angle
because of the sensors",-0.05,Negative,0
facing forward and sideways and down.,-0.15555555555555559,Negative,0
"you can kind of just
rest your hand anywhere,",0.6,Positive,1
"in front of you, in your lap.",0.0,Neutral,0
"as long as you pinch like that,",-0.05,Negative,0
"it can generally pick it
up, which is impressive.",0.525,Positive,1
so you're pinching to control anywhere,0.0,Neutral,0
in that 180 degree bubble in front of you.,0.0,Neutral,0
"and then the digital
crown, you hit that once,",0.0,Neutral,0
"and the app drawer
comes up, pretty simple.",0.125,Positive,1
doesn't seem that impressive.,1.0,Positive,1
"but this is actually a peek
at the first really impressive",0.4166666666666667,Positive,1
"thing about this headset to
me, which is it seems to have",0.0,Neutral,0
"incredible spatial positioning lock,",0.9,Positive,1
"and like, it's really hard
to have you appreciate this",-0.2916666666666667,Negative,0
through a youtube video.,0.0,Neutral,0
reviewing vr headsets is hard.,-0.2916666666666667,Negative,0
"but turn around in the room you're in,",0.0,Neutral,0
and picture a wall or a window,0.0,Neutral,0
"just appearing locked in place
in 3d space in your room,",0.0,Neutral,0
"and no matter how much you move your head,",0.2,Positive,1
"or move around, it stays
exactly kind of floating",0.6,Positive,1
where it's supposed to be.,0.0,Neutral,0
"but when i say floating, i
think you're picturing like a,",0.0,Neutral,0
"a soft float, but it's locked,
and that's how it starts.",0.1,Positive,1
so now you're in apple's new vision os,0.13636363636363635,Positive,1
"i would describe this as
kind of similar to ipad os,",0.3,Positive,1
"but way more glassy, and of course",0.5,Positive,1
with the extra dimension of 3d space.,0.0,Neutral,0
"so hitting a digital crown
will always get the app drawer",0.0,Neutral,0
"back in front of you, and
then simply look at the icon",0.0,Neutral,0
"you want and pinch your fingers together,",0.0,Neutral,0
to select it and open that app.,0.0,Neutral,0
"scrolling is basically as you'd expect,",0.0,Neutral,0
"you just kind of pinch
and grab in the air,",0.6,Positive,1
"and then pull as if it's on a string,",0.0,Neutral,0
"and physics let you pull
things through the air.",0.0,Neutral,0
"it's pretty intuitive, it's
responsive, it's fluid.",0.125,Positive,1
sometimes it's kind of bouncy even.,0.6,Positive,1
i would say the biggest adjustment,0.0,Neutral,0
is only being able to control,0.25,Positive,1
exactly what you're looking at.,0.25,Positive,1
and i don't think people realize,0.0,Neutral,0
how often they're controlling things,0.0,Neutral,0
"that they're not exactly
looking directly at",-0.012499999999999997,Negative,0
with other computers and other uis.,-0.125,Negative,0
"but with this, you can look
at the button to select it,",0.0,Neutral,0
"and if you look at the
next thing you're gonna do,",0.0,Neutral,0
you're no longer controlling the button.,0.0,Neutral,0
"you have to look exactly
where you're trying",0.25,Positive,1
to interact with things.,0.0,Neutral,0
it takes a few extra brain cycles,-0.1,Negative,0
to remember to always be looking,0.0,Neutral,0
exactly at the thing you're controlling.,0.25,Positive,1
"so when you open a window
of a vision os app,",0.0,Neutral,0
"like any one of the
default apple apps here,",0.0,Neutral,0
"it locks into place, it's floating there.",0.0,Neutral,0
"it kind of looks, again, like an ipad app,",0.6,Positive,1
"but very glassy, like this
frosted glass around the ui",0.2,Positive,1
sort of lets you see through a little bit,-0.1875,Negative,0
to the color behind it.,-0.4,Negative,0
"and it even sometimes casts
a shadow on the ground",0.0,Neutral,0
"in the correct z space,
so it really solidifies",0.2,Positive,1
that it's floating in front of you.,0.0,Neutral,0
all this makes it feel like the window,0.0,Neutral,0
is in the space around you.,0.0,Neutral,0
"then if you look at the
bottom of the window,",0.0,Neutral,0
"you get a little bar, you can
always just look at that bar",-0.1875,Negative,0
and pinch to drag it around.,-0.1,Negative,0
"so drag it forward,
backward, anywhere you want",-0.1,Negative,0
"in x, y, and z space, and then let go",0.0,Neutral,0
and it just stays absolutely locked.,0.2,Positive,1
"and then you can look at
either bottom corner to resize",0.0,Neutral,0
to make it bigger or smaller.,0.0,Neutral,0
"and then finally there's
a little x at the bottom,",-0.09375,Negative,0
"you select that, that closes it.",0.0,Neutral,0
"so that is the basics of vision os,",0.0,Neutral,0
and just using an app.,0.0,Neutral,0
"now this entire time, by default,",0.0,Neutral,0
"and almost any time they
can, passthrough is on,",0.0,Neutral,0
"which means you have the headset on,",0.0,Neutral,0
but you can see with the cameras,0.0,Neutral,0
right through to everything around you.,0.2857142857142857,Positive,1
"and i think this is
where apple really wants",0.2,Positive,1
"to normalize the term spatial computing,",0.0,Neutral,0
because it feels like augmented reality.,0.0,Neutral,0
"it feels like you're always
able to see the space",0.5,Positive,1
"around you, but technically
it's not actually ar,",0.0,Neutral,0
"because you are still looking
at a reconstructed version",0.0,Neutral,0
"through a camera feed
of the world around you",0.0,Neutral,0
instead of the actual world around you.,0.0,Neutral,0
but maybe it's all just semantics.,0.0,Neutral,0
"i will say, this is the best
passthrough of any vr headset",1.0,Positive,1
"i've ever used, and it's
not even that close.",0.0,Neutral,0
"now again, it's so hard to get
this through a youtube video.",-0.2916666666666667,Negative,0
"it does have screen recording built in,",0.0,Neutral,0
so i'm gonna try to use that.,0.0,Neutral,0
"but imagine putting a headset on,",0.0,Neutral,0
"and not really feeling like
you're looking at a screen",-0.1,Negative,0
with the real world.,0.2,Positive,1
"because of the pixel density,",0.0,Neutral,0
"because of the 90 hertz refresh rate,",0.0,Neutral,0
"and because of the impressive
dynamic range of the cameras",0.5,Positive,1
"and the correctly adjusting shutter speed,",0.0,Neutral,0
"you just almost don't,",0.0,Neutral,0
you almost just feel like you're looking,0.0,Neutral,0
"at the real world, not through a headset.",0.2,Positive,1
"also the passthrough is
so close to real time",0.2,Positive,1
"that i could legitimately
interact with all kinds of things.",0.0,Neutral,0
i could catch items flying at me.,0.0,Neutral,0
i even tried playing ping pong.,0.0,Neutral,0
"it was easy, no hesitation.",0.43333333333333335,Positive,1
"so officially, the r1 chip
is doing all the processing",0.0,Neutral,0
"of all this stuff and
adjusting the shutter speed",0.0,Neutral,0
for different lighting conditions,0.0,Neutral,0
and always keeping passthrough latency,0.0,Neutral,0
"under 12 milliseconds, which
is the lowest in the industry.",0.0,Neutral,0
"but it's really combining
that with how close to reality",0.2,Positive,1
"the colors and brightness
and everything are",0.0,Neutral,0
that keeps it feeling kind of real.,0.4,Positive,1
"basically, the only noticeable restriction",0.0,Neutral,0
"is super close up items and
objects can get a bit blurry,",0.3333333333333333,Positive,1
"and then you can't quite
make out really small",-0.25,Negative,0
"or fine texts, so you can't read an email",0.4166666666666667,Positive,1
"or a tiny text on your phone in your hand,",0.0,Neutral,0
"but you can absolutely text people,",0.2,Positive,1
"or read your notifications,
while keeping the headset on.",0.0,Neutral,0
"if you've tried other vr headsets,",-0.125,Negative,0
you know how impressive that is.,1.0,Positive,1
"it's just, it's really good with the tech",0.7,Positive,1
that exists now for vr headsets.,0.0,Neutral,0
"but you can definitely
still take the headset off",0.0,Neutral,0
"and be like, oh, it's way brighter in here",0.0,Neutral,0
than i thought it was.,0.0,Neutral,0
"either way, that's all passthrough,",0.0,Neutral,0
"but if you ever wanna
fully immerse yourself,",0.0,Neutral,0
"i mean it is a vr headset after all,",-0.3125,Negative,0
"all you gotta do is rotate
this digital crown clockwise,",0.0,Neutral,0
"just keep turning it, and it will slowly",-0.30000000000000004,Negative,0
"dial your environment more and
more into your field of view",0.5,Positive,1
"until you dial it all the way
up to fully surrounding you.",0.0,Neutral,0
"so all of the windows
you might have had open",0.0,Neutral,0
"will still stay stuck where they were,",0.0,Neutral,0
"but everything you're doing
is just on the moon now.",0.0,Neutral,0
"so yeah, there's a couple environments",0.0,Neutral,0
"apple has built in here,",0.0,Neutral,0
"most of them relaxing scenic locations,",0.5,Positive,1
"like in california somewhere,",0.0,Neutral,0
or one really nice one is mount hood,0.6,Positive,1
with a little bit of rain falling.,-0.1875,Negative,0
"they're not quite photorealistic,",0.0,Neutral,0
"but they're just short of photorealistic,",0.0,Neutral,0
"like they're the most
realistic digital environments",0.2222222222222222,Positive,1
that i've seen.,0.0,Neutral,0
"so then the last two big quirks
of the ui, control center.",-0.03333333333333333,Negative,0
so the only way to get to control center,-0.05,Negative,0
"is to look up, and you can't just look up,",0.0,Neutral,0
"but you have to physically
turn your head up",0.0,Neutral,0
"and look at this arrow
that appears above you.",0.0,Neutral,0
"so once you see that, you select that",0.0,Neutral,0
"and then you get your control
center for things like,",-0.1,Negative,0
"you know, battery life and
notifications, focus modes,",0.0,Neutral,0
"and screen recording,
and pairing to a mac.",0.0,Neutral,0
but the other big quirk is text input.,-0.0625,Negative,0
"so you might be wondering
how does text input work",0.0,Neutral,0
with no physical controllers?,0.0,Neutral,0
"so there's basically
three ways to do this.",0.0,Neutral,0
"so let's say you are in safari,",0.0,Neutral,0
and you want to go to mkbhd.com.,0.0,Neutral,0
"you really want one of those
shiny new chevron hoodies",0.16818181818181818,Positive,1
for the rest of winter.,0.0,Neutral,0
"great, how do you do it?",0.8,Positive,1
"so the first way is to
literally hunt and peck",0.25,Positive,1
poking the keys on the keyboard,0.0,Neutral,0
that appears in the air in front of you.,0.0,Neutral,0
"so this one is tough, because
it literally only reacts",-0.19444444444444445,Negative,0
to your pointer finger on each hand.,0.0,Neutral,0
"so you actually can't type fast,",0.1,Positive,1
like with home row or anything like that.,0.0,Neutral,0
not great.,-0.4,Negative,0
"the second way, though, i
think is actually kind of good.",0.4333333333333333,Positive,1
"it's at least faster,
which is looking at the key",-0.15,Negative,0
"you want to interact with, and
then pinching to select it.",0.0,Neutral,0
"so just looking around
the keyboard like this,",0.0,Neutral,0
and selecting the keys.,0.0,Neutral,0
"and you might be surprised how
fast you can type like this",0.15000000000000002,Positive,1
"if you actually know your way
around a keyboard pretty well.",0.125,Positive,1
"i actually prefer this to
poking the virtual keys",0.0,Neutral,0
"because i at least get a
little bit of haptic feedback",-0.24375,Negative,0
from my own fingers tapping together.,0.6,Positive,1
"but then in safari, the last way to do it",0.0,Neutral,0
"is literally to just
look up at the microphone",0.0,Neutral,0
and say the url out loud.,0.1,Positive,1
mkbhd.com.,0.0,Neutral,0
and then it just hears you,0.0,Neutral,0
"and goes to the site pretty quick,",0.29166666666666663,Positive,1
"if it's a url that you
can actually say out loud.",0.05,Positive,1
"so, what can you actually
do with this thing?",0.0,Neutral,0
"like now that we know what
it is, it's the m2 chip,",0.0,Neutral,0
a computer on your face with the displays,0.0,Neutral,0
"and the lenses inside, and all
sorts of sensors everywhere.",0.0,Neutral,0
what can this thing actually do?,0.0,Neutral,0
"and i feel like the most
common way to phrase that",0.1,Positive,1
is what is the killer app?,0.0,Neutral,0
"because that's, we feel
like we need some sort",0.0,Neutral,0
"of justification to spend
three, 4,000 on this thing.",0.0,Neutral,0
"like applications made the
iphone what it is as we know it,",0.0,Neutral,0
like apps made the ipad.,0.0,Neutral,0
"so what is the app
situation on the vision pro?",0.0,Neutral,0
"so there are two types of apps
on the vision pro, actually.",0.0,Neutral,0
"the first is apps that
are built specifically",0.25,Positive,1
for the vision pro to take advantage,0.0,Neutral,0
of its awesome experiences.,1.0,Positive,1
"and there are a few of those right now,",0.042857142857142844,Positive,1
"and then there are all the other apps,",-0.125,Negative,0
which basically are iphone and ipad apps,0.0,Neutral,0
that happen to be compatible,0.0,Neutral,0
because the developer didn't opt out.,0.0,Neutral,0
and the first kind is way cooler.,0.425,Positive,1
so these are apple's stock apps here,0.0,Neutral,0
that come with the vision pro.,0.0,Neutral,0
"and so these are all, of course,
made just for vision pro.",0.0,Neutral,0
"so they're gonna have stuff
that takes full advantage",0.35,Positive,1
of what this thing is capable of.,0.2,Positive,1
"apple music is a pretty classic one,",0.20833333333333331,Positive,1
like it has all the same functionality,0.0,Neutral,0
"of any other apple music app,",-0.125,Negative,0
"but in this super glassy frosted window,",0.3333333333333333,Positive,1
"and shows the colors of
whatever's behind it.",-0.4,Negative,0
"and you have the sort of sorting
menu on the left hand side",0.0,Neutral,0
instead of across the bottom.,0.0,Neutral,0
that's the basic layout.,0.0,Neutral,0
"same thing with the notes
app and the settings app.",0.0,Neutral,0
"very glassy, almost looking
like an ipad app in the air,",0.2,Positive,1
"just rebuilt with this
new material design.",0.13636363636363635,Positive,1
and then there's the media apps.,0.0,Neutral,0
"so apple tv and disney+,
they both come pre-installed,",0.0,Neutral,0
which they have built entire environments,0.0,Neutral,0
inside of them for watching media.,0.0,Neutral,0
"and there's even a small
collection of videos",-0.25,Negative,0
on the apple tv app that are shot,0.0,Neutral,0
on a new proprietary format,0.13636363636363635,Positive,1
specifically for vision pro.,0.0,Neutral,0
"so it drops you into a space
with a full 180 degree video,",0.35,Positive,1
and alicia keys walks right up to you,0.2857142857142857,Positive,1
and starts singing right to your face.,0.2857142857142857,Positive,1
it's crazy.,-0.6,Negative,0
"there's also the photos app,",0.0,Neutral,0
"which will let you look
at panoramic photos,",0.0,Neutral,0
"for example, in this fully immersive view.",0.0,Neutral,0
"so you can blow them up to full screen,",0.35,Positive,1
"and then it gives you a
bit of a parallax effect",0.0,Neutral,0
"around the edges, so it
feels like you're looking",0.0,Neutral,0
"into a window of your own
photo and looking around.",0.6,Positive,1
it's kind of incredible.,0.75,Positive,1
"and then there's also
some other really fun",0.0875,Positive,1
third party apps that i've tried,0.0,Neutral,0
that were built ahead of time.,0.0,Neutral,0
"so sky guide, this is a good one.",0.7,Positive,1
"you can look around a real
representation of the sky",0.2,Positive,1
"around you or any of the
constellations would normally be,",0.15,Positive,1
"you can look at it a little
longer and it'll pop it out.",-0.1875,Negative,0
you can pull it outta the sky,0.0,Neutral,0
to get more information about it.,0.5,Positive,1
it's a pretty great idea.,0.525,Positive,1
"there's another one called jig space,",0.0,Neutral,0
"which is, it's a sick app,",-0.7142857142857143,Negative,0
"i don't know if i'd ever use it,",0.0,Neutral,0
but basically it lets you load 3d models,0.0,Neutral,0
"into the space you're in
and mess around with them,",-0.175,Negative,0
"take 'em apart, view them in actual size.",0.0,Neutral,0
"and this really takes
advantage of how good",0.44999999999999996,Positive,1
the placement lock is on the vision pro.,0.0,Neutral,0
"and you can walk around,
and really gets you",0.2,Positive,1
"a better understanding
of the scale of things",0.5,Positive,1
"that you don't get to
see up close very often.",0.2,Positive,1
and then keynote is another funny one.,0.25,Positive,1
"so you can of course go
through and edit a keynote",0.0,Neutral,0
"just like normal if you want to,",0.15,Positive,1
"but then they've built
this whole environment",0.2,Positive,1
for practicing your presentation skills.,0.0,Neutral,0
"so you press that and it
says, oh, would you like to go",0.0,Neutral,0
"to a conference room, or the
literal steve jobs theater,",0.0,Neutral,0
"so you can rehearse
talking to your audience",0.0,Neutral,0
with your keynote slides behind you.,-0.4,Negative,0
it is genuinely incredibly immersive.,0.9,Positive,1
"and there's already a
bunch more apps like this",0.5,Positive,1
in the app store already at launch,0.0,Neutral,0
"that are specifically
built for vision pro.",0.0,Neutral,0
"so they'll take advantage
of its various strengths.",0.0,Neutral,0
"now, are any of these a killer app?",0.0,Neutral,0
not really.,-0.1,Negative,0
"i mean i don't, if you're
looking for any one of these",-0.3125,Negative,0
"to be the reason why you spend
like 4,000 on this headset,",0.0,Neutral,0
i don't think we have that yet.,0.0,Neutral,0
"but then at least there's
all the other non-native,",-0.2125,Negative,0
"but technically still compatible, apps",0.0,Neutral,0
that are in the app store.,0.0,Neutral,0
"and these are gonna look just
like iphone and ipad apps.",0.0,Neutral,0
"actually, there's a pre-installed
folder on the home screen",0.0,Neutral,0
"when you get this thing
literally called compatible apps,",0.0,Neutral,0
"and there's a bunch of
them from apple here.",0.0,Neutral,0
they look exactly like ipad apps.,0.25,Positive,1
"i'm surprised actually
that more of them aren't",0.19999999999999998,Positive,1
"fully built out to take
advantage of vision pro,",0.0,Neutral,0
"but like, apple maps is just the ipad app.",0.0,Neutral,0
"and so it would be cool
if there were some fun",0.32499999999999996,Positive,1
"augmented reality overlay
walking directions type stuff,",0.0,Neutral,0
"but nope, it's all the
exact same functionality",0.125,Positive,1
"that you would find if you
opened this app on your ipad.",0.0,Neutral,0
and you can go to the app store,0.0,Neutral,0
and search a bunch of the names of apps,0.0,Neutral,0
"you already know and love,
and find them by name",0.5,Positive,1
"and grab them, and they'll
work the exact same way.",0.125,Positive,1
"crazily enough though, there are already",0.0,Neutral,0
some notable exceptions.,0.5,Positive,1
"no netflix app for the
vision pro, no youtube app",0.0,Neutral,0
"for the vision pro, no spotify
app for the vision pro.",0.0,Neutral,0
"apple has kind of a
contentious relationship",0.6,Positive,1
"with a lot of developers right now,",0.2857142857142857,Positive,1
especially some of the bigger ones.,0.0,Neutral,0
"and so some have made the
active choice to opt out.",-0.13333333333333333,Negative,0
"they're like, we don't wanna be there.",0.0,Neutral,0
"this won't be a big enough
platform to matter to us",0.0,Neutral,0
to justify the work.,0.0,Neutral,0
so they're not there.,0.0,Neutral,0
"now i totally get it,",0.0,Neutral,0
but also now as a vision pro owner,0.0,Neutral,0
"and someone who's using it,",0.0,Neutral,0
"i'm like, oh, it's kind of a bummer.",0.6,Positive,1
"i really wanted to be able to
watch a netflix show offline,",0.35,Positive,1
"downloaded it ahead of time,
but you can't do that now.",0.0,Neutral,0
"but at least, at least
for now, for the record,",-0.3,Negative,0
"you can use the browser,",0.0,Neutral,0
"and anything that would
work in the browser.",0.0,Neutral,0
"so if you pull up safari,",0.0,Neutral,0
"and you get a full screen
4k youtube video going,",0.35,Positive,1
"and locked in space, or
even in an environment,",0.0,Neutral,0
it looks great.,0.8,Positive,1
it's razor sharp.,-0.125,Negative,0
"like, i could totally watch
youtube videos like this.",0.0,Neutral,0
"but you will definitely
be missing the features",-0.2,Negative,0
"of having the dedicated
app, like offline video.",0.0,Neutral,0
"honestly to me, the killer
app of the vision pro",0.6,Positive,1
"isn't just an app, it's
actually the ecosystem.",0.0,Neutral,0
"and we knew this was coming,",0.0,Neutral,0
"but the second you log into a
vision pro with your apple id,",0.0,Neutral,0
"immediately it starts
pulling all the services,",0.0,Neutral,0
and all the stuff that you're used to,0.0,Neutral,0
"from all the other apple
devices you already have.",-0.125,Negative,0
"and i said this before the
vision pro was announced,",0.0,Neutral,0
"i was like, this is the most
obvious strategy for apple",0.25,Positive,1
because there are lots of people out there,0.0,Neutral,0
